Source,Target,Type,Id,Label,Weight,1,2
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q2833117,Undirected,52,,1,United States of America,nationality
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q75096,Undirected,53,,1,German Reich,nationality
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q2833227,Undirected,54,,1,United Kingdom of Great Britain and Ireland,nationality
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q15627363,Undirected,55,,1,United States of America,nationality
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q2643365,Undirected,56,,1,United Kingdom of the Netherlands,nationality
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q6694,Undirected,57,,1,Kingdom of Prussia,nationality
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q519196,Undirected,58,,1,Russian Empire,nationality
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q2833709,Undirected,59,,1,France,nationality
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q16062728,Undirected,60,,1,France,nationality
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q622276,Undirected,61,,1,Romania,nationality
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q2754924,Undirected,62,,1,Soviet Union,nationality
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q4721341,Undirected,63,,1,Russia,nationality
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q5666633,Undirected,64,,1,Germany,nationality
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q13402629,Undirected,65,,1,Spain,nationality
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q5667420,Undirected,66,,1,Switzerland,nationality
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q1766860,Undirected,67,,1,Germany,nationality
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q5667427,Undirected,68,,1,France,nationality
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q5667430,Undirected,69,,1,United States of America,nationality
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q2835195,Undirected,70,,1,France,nationality
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q75804,Undirected,71,,1,Kingdom of Prussia,nationality
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q4227549,Undirected,72,,1,Russia,nationality
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q6382619,Undirected,73,,1,Germany,nationality
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q96682,Undirected,74,,1,Germany,nationality
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q68949,Undirected,75,,1,United States of America,nationality
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q160627,Undirected,76,,1,United Kingdom of Great Britain and Ireland,nationality
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q460241,Undirected,77,,1,Canada,nationality
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q1340280,Undirected,78,,1,France,nationality
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q2129941,Undirected,79,,1,Kingdom of the Netherlands,nationality
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q545888,Undirected,80,,1,Australia,nationality
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q16031427,Undirected,81,,1,United States of America,nationality
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q5670001,Undirected,82,,1,Austria-Hungary,nationality
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q16529123,Undirected,83,,1,Austria,nationality
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q2839202,Undirected,84,,1,Austria-Hungary,nationality
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q2839791,Undirected,85,,1,France,nationality
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q962094,Undirected,86,,1,United States of America,nationality
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q448279,Undirected,87,,1,United States of America,nationality
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q19002102,Undirected,88,,1,Brazil,nationality
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q449930,Undirected,89,,1,United States of America,nationality
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q76851,Undirected,90,,1,Kingdom of Saxony,nationality
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q2373009,Undirected,91,,1,United States of America,nationality
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q4753777,Undirected,92,,1,Sweden,nationality
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q491270,Undirected,93,,1,Denmark,nationality
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q5675238,Undirected,94,,1,Austria,nationality
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q63760,Undirected,95,,1,France,nationality
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q76049,Undirected,96,,1,Germany,nationality
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q765336,Undirected,97,,1,Austria-Hungary,nationality
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q508817,Undirected,98,,1,Republic of Ireland,nationality
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q2275029,Undirected,99,,1,Kingdom of the Netherlands,nationality
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q5675461,Undirected,100,,1,France,nationality
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q2467467,Undirected,101,,1,Indonesia,nationality
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q2848440,Undirected,102,,1,France,nationality
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q8200245,Undirected,103,,1,Sweden,nationality
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q5696701,Undirected,104,,1,Hungary,nationality
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q5696703,Undirected,105,,1,Hungary,nationality
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q4260321,Undirected,106,,1,Kingdom of the Netherlands,nationality
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q5696944,Undirected,107,,1,Australia,nationality
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q4772772,Undirected,108,,1,United Kingdom,nationality
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q4775469,Undirected,109,,1,France,nationality
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q2627241,Undirected,110,,1,France,nationality
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q223963,Undirected,111,,1,France,nationality
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q21506361,Undirected,112,,1,France,nationality
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q16147276,Undirected,113,,1,France,nationality
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q16062902,Undirected,114,,1,Austria,nationality
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q78746,Undirected,115,,1,Austria-Hungary,nationality
Botanic Garden and Botanical Museum Berlin,http://www.wikidata.org/entity/Q21388096,Undirected,116,,1,Germany,nationality
